!MOLECULE
CH spin-rotation spectrum up to 1000 cm^-1 above ground without hyperfine structure; based on CDMS v3 (June 2015)                                                                     
!MOLECULAR WEIGHT
   13.0     
! NUMBER OF ENERGY LEVELS
   31
!Level	E(cm-1)	   weight	J e/f +/- Omega
297  19  16  1.13e-11 1.27e-11 1.46e-11 1.67e-11 1.88e-11 2.08e-11 2.29e-11 2.49e-11 2.68e-11 2.86e-11 3.04e-11 3.21e-11 3.38e-11 3.54e-11 3.69e-11 3.84e-11 3.99e-11 4.13e-11 4.26e-11 4.39e-11 4.52e-11 4.64e-11 4.76e-11 4.87e-11 4.98e-11 5.09e-11 5.20e-11 5.30e-11 5.40e-11 5.50e-11 
298  19  15  3.93e-12 4.38e-12 5.03e-12 5.75e-12 6.48e-12 7.20e-12 7.90e-12 8.57e-12 9.21e-12 9.83e-12 1.04e-11 1.10e-11 1.15e-11 1.20e-11 1.24e-11 1.29e-11 1.33e-11 1.37e-11 1.41e-11 1.45e-11 1.49e-11 1.52e-11 1.56e-11 1.59e-11 1.62e-11 1.65e-11 1.68e-11 1.71e-11 1.74e-11 1.77e-11 
299  19  14  1.59e-12 1.85e-12 2.21e-12 2.62e-12 3.04e-12 3.48e-12 3.92e-12 4.35e-12 4.77e-12 5.18e-12 5.58e-12 5.97e-12 6.34e-12 6.71e-12 7.06e-12 7.40e-12 7.73e-12 8.05e-12 8.36e-12 8.65e-12 8.95e-12 9.23e-12 9.50e-12 9.77e-12 1.00e-11 1.03e-11 1.05e-11 1.08e-11 1.10e-11 1.12e-11 
300  19  13  7.67e-13 9.21e-13 1.15e-12 1.42e-12 1.72e-12 2.05e-12 2.39e-12 2.74e-12 3.08e-12 3.43e-12 3.77e-12 4.10e-12 4.43e-12 4.74e-12 5.05e-12 5.35e-12 5.64e-12 5.92e-12 6.19e-12 6.46e-12 6.71e-12 6.97e-12 7.21e-12 7.45e-12 7.69e-12 7.92e-12 8.15e-12 8.37e-12 8.58e-12 8.80e-12 
301  19  12  6.17e-13 7.11e-13 8.54e-13 1.02e-12 1.21e-12 1.40e-12 1.59e-12 1.79e-12 2.00e-12 2.20e-12 2.39e-12 2.59e-12 2.79e-12 2.98e-12 3.18e-12 3.37e-12 3.56e-12 3.74e-12 3.93e-12 4.11e-12 4.30e-12 4.48e-12 4.66e-12 4.84e-12 5.01e-12 5.19e-12 5.36e-12 5.53e-12 5.71e-12 5.88e-12 
302  19  11  2.81e-12 3.27e-12 3.89e-12 4.60e-12 5.35e-12 6.13e-12 6.92e-12 7.72e-12 8.52e-12 9.32e-12 1.01e-11 1.09e-11 1.17e-11 1.24e-11 1.32e-11 1.39e-11 1.47e-11 1.54e-11 1.61e-11 1.68e-11 1.75e-11 1.82e-11 1.89e-11 1.95e-11 2.02e-11 2.08e-11 2.15e-11 2.21e-11 2.27e-11 2.33e-11 
303  19  10  2.68e-13 3.13e-13 3.73e-13 4.43e-13 5.19e-13 6.00e-13 6.86e-13 7.76e-13 8.69e-13 9.66e-13 1.07e-12 1.17e-12 1.27e-12 1.38e-12 1.48e-12 1.59e-12 1.70e-12 1.81e-12 1.93e-12 2.04e-12 2.15e-12 2.26e-12 2.38e-12 2.49e-12 2.60e-12 2.71e-12 2.83e-12 2.94e-12 3.05e-12 3.16e-12 
304  19   9  1.09e-12 1.29e-12 1.58e-12 1.92e-12 2.30e-12 2.69e-12 3.09e-12 3.50e-12 3.91e-12 4.31e-12 4.70e-12 5.09e-12 5.47e-12 5.84e-12 6.19e-12 6.54e-12 6.87e-12 7.20e-12 7.51e-12 7.81e-12 8.10e-12 8.38e-12 8.64e-12 8.90e-12 9.15e-12 9.39e-12 9.63e-12 9.85e-12 1.01e-11 1.03e-11 
305  19   8  9.44e-13 1.11e-12 1.33e-12 1.60e-12 1.89e-12 2.19e-12 2.50e-12 2.83e-12 3.15e-12 3.48e-12 3.82e-12 4.15e-12 4.48e-12 4.81e-12 5.13e-12 5.46e-12 5.78e-12 6.10e-12 6.42e-12 6.74e-12 7.05e-12 7.35e-12 7.66e-12 7.96e-12 8.26e-12 8.55e-12 8.85e-12 9.13e-12 9.42e-12 9.70e-12 
306  19   7  5.87e-13 6.78e-13 8.14e-13 9.72e-13 1.14e-12 1.32e-12 1.50e-12 1.68e-12 1.87e-12 2.04e-12 2.22e-12 2.39e-12 2.55e-12 2.71e-12 2.87e-12 3.02e-12 3.17e-12 3.32e-12 3.46e-12 3.59e-12 3.73e-12 3.86e-12 3.98e-12 4.11e-12 4.23e-12 4.34e-12 4.46e-12 4.57e-12 4.68e-12 4.78e-12 
307  19   6  2.37e-13 2.97e-13 3.79e-13 4.78e-13 5.90e-13 7.13e-13 8.43e-13 9.79e-13 1.12e-12 1.26e-12 1.41e-12 1.56e-12 1.71e-12 1.86e-12 2.00e-12 2.15e-12 2.30e-12 2.44e-12 2.58e-12 2.73e-12 2.87e-12 3.01e-12 3.14e-12 3.28e-12 3.41e-12 3.54e-12 3.67e-12 3.80e-12 3.92e-12 4.04e-12 
308  19   5  1.15e-13 1.40e-13 1.73e-13 2.12e-13 2.56e-13 3.06e-13 3.61e-13 4.21e-13 4.87e-13 5.58e-13 6.32e-13 7.11e-13 7.94e-13 8.79e-13 9.67e-13 1.06e-12 1.15e-12 1.24e-12 1.34e-12 1.44e-12 1.54e-12 1.63e-12 1.73e-12 1.83e-12 1.93e-12 2.04e-12 2.14e-12 2.24e-12 2.34e-12 2.44e-12 
309  19   4  1.59e-13 1.85e-13 2.22e-13 2.64e-13 3.11e-13 3.59e-13 4.10e-13 4.63e-13 5.17e-13 5.73e-13 6.31e-13 6.90e-13 7.50e-13 8.11e-13 8.74e-13 9.37e-13 1.00e-12 1.07e-12 1.13e-12 1.20e-12 1.27e-12 1.33e-12 1.40e-12 1.47e-12 1.54e-12 1.60e-12 1.67e-12 1.74e-12 1.81e-12 1.87e-12 
310  19   3  3.75e-13 4.45e-13 5.39e-13 6.46e-13 7.62e-13 8.85e-13 1.01e-12 1.14e-12 1.28e-12 1.42e-12 1.56e-12 1.70e-12 1.84e-12 1.98e-12 2.13e-12 2.28e-12 2.42e-12 2.57e-12 2.72e-12 2.87e-12 3.02e-12 3.17e-12 3.32e-12 3.47e-12 3.62e-12 3.77e-12 3.92e-12 4.07e-12 4.22e-12 4.37e-12 
311  19   2  7.46e-14 8.61e-14 1.02e-13 1.21e-13 1.41e-13 1.62e-13 1.83e-13 2.06e-13 2.29e-13 2.53e-13 2.77e-13 3.03e-13 3.28e-13 3.55e-13 3.82e-13 4.10e-13 4.38e-13 4.67e-13 4.96e-13 5.26e-13 5.56e-13 5.86e-13 6.16e-13 6.46e-13 6.77e-13 7.08e-13 7.38e-13 7.69e-13 8.00e-13 8.30e-13 
312  19   1  1.10e-13 1.37e-13 1.73e-13 2.18e-13 2.69e-13 3.25e-13 3.85e-13 4.48e-13 5.15e-13 5.84e-13 6.54e-13 7.27e-13 8.00e-13 8.75e-13 9.50e-13 1.03e-12 1.10e-12 1.18e-12 1.25e-12 1.33e-12 1.41e-12 1.48e-12 1.56e-12 1.63e-12 1.71e-12 1.78e-12 1.85e-12 1.92e-12 1.99e-12 2.06e-12 
313  18  17  4.55e-12 4.59e-12 4.82e-12 5.11e-12 5.43e-12 5.75e-12 6.08e-12 6.40e-12 6.72e-12 7.04e-12 7.35e-12 7.66e-12 7.97e-12 8.27e-12 8.57e-12 8.87e-12 9.16e-12 9.45e-12 9.73e-12 1.00e-11 1.03e-11 1.06e-11 1.08e-11 1.11e-11 1.13e-11 1.16e-11 1.18e-11 1.20e-11 1.23e-11 1.25e-11 
314  18  16  4.49e-13 4.53e-13 5.22e-13 6.15e-13 7.22e-13 8.39e-13 9.63e-13 1.09e-12 1.22e-12 1.36e-12 1.50e-12 1.64e-12 1.78e-12 1.93e-12 2.07e-12 2.22e-12 2.36e-12 2.51e-12 2.66e-12 2.81e-12 2.96e-12 3.11e-12 3.26e-12 3.41e-12 3.56e-12 3.71e-12 3.86e-12 4.00e-12 4.15e-12 4.30e-12 
315  18  15  9.44e-12 8.97e-12 9.20e-12 9.63e-12 1.01e-11 1.07e-11 1.12e-11 1.18e-11 1.23e-11 1.28e-11 1.33e-11 1.38e-11 1.42e-11 1.46e-11 1.50e-11 1.54e-11 1.58e-11 1.61e-11 1.64e-11 1.68e-11 1.70e-11 1.73e-11 1.76e-11 1.78e-11 1.81e-11 1.83e-11 1.85e-11 1.87e-11 1.89e-11 1.91e-11 
316  18  14  1.46e-12 1.76e-12 2.18e-12 2.67e-12 3.19e-12 3.73e-12 4.28e-12 4.84e-12 5.39e-12 5.94e-12 6.48e-12 7.01e-12 7.54e-12 8.05e-12 8.56e-12 9.06e-12 9.55e-12 1.00e-11 1.05e-11 1.10e-11 1.14e-11 1.19e-11 1.23e-11 1.27e-11 1.32e-11 1.36e-11 1.40e-11 1.44e-11 1.48e-11 1.52e-11 
317  18  13  6.59e-12 7.47e-12 8.76e-12 1.03e-11 1.20e-11 1.37e-11 1.56e-11 1.74e-11 1.93e-11 2.12e-11 2.30e-11 2.48e-11 2.66e-11 2.84e-11 3.00e-11 3.17e-11 3.33e-11 3.48e-11 3.63e-11 3.78e-11 3.92e-11 4.05e-11 4.18e-11 4.31e-11 4.43e-11 4.55e-11 4.66e-11 4.77e-11 4.87e-11 4.98e-11 
318  18  12  1.68e-13 1.98e-13 2.52e-13 3.23e-13 4.10e-13 5.11e-13 6.25e-13 7.52e-13 8.91e-13 1.04e-12 1.20e-12 1.37e-12 1.54e-12 1.73e-12 1.92e-12 2.11e-12 2.31e-12 2.52e-12 2.72e-12 2.94e-12 3.15e-12 3.37e-12 3.59e-12 3.81e-12 4.03e-12 4.25e-12 4.47e-12 4.69e-12 4.91e-12 5.13e-12 
319  18  11  1.74e-13 1.94e-13 2.35e-13 2.90e-13 3.54e-13 4.28e-13 5.09e-13 5.98e-13 6.94e-13 7.96e-13 9.03e-13 1.01e-12 1.13e-12 1.25e-12 1.37e-12 1.49e-12 1.61e-12 1.73e-12 1.85e-12 1.98e-12 2.10e-12 2.22e-12 2.34e-12 2.45e-12 2.57e-12 2.68e-12 2.80e-12 2.91e-12 3.02e-12 3.12e-12 
320  18  10  3.40e-13 4.19e-13 5.42e-13 6.95e-13 8.75e-13 1.08e-12 1.30e-12 1.54e-12 1.80e-12 2.07e-12 2.35e-12 2.64e-12 2.95e-12 3.26e-12 3.58e-12 3.91e-12 4.24e-12 4.58e-12 4.92e-12 5.26e-12 5.61e-12 5.96e-12 6.32e-12 6.67e-12 7.03e-12 7.39e-12 7.75e-12 8.11e-12 8.46e-12 8.82e-12 
321  18   9  1.91e-13 2.48e-13 3.38e-13 4.51e-13 5.85e-13 7.35e-13 8.98e-13 1.07e-12 1.25e-12 1.44e-12 1.62e-12 1.81e-12 2.01e-12 2.20e-12 2.38e-12 2.57e-12 2.76e-12 2.94e-12 3.12e-12 3.30e-12 3.47e-12 3.64e-12 3.81e-12 3.98e-12 4.14e-12 4.30e-12 4.45e-12 4.61e-12 4.76e-12 4.91e-12 
322  18   8  1.62e-14 1.97e-14 2.65e-14 3.61e-14 4.83e-14 6.35e-14 8.19e-14 1.04e-13 1.29e-13 1.58e-13 1.91e-13 2.27e-13 2.66e-13 3.09e-13 3.54e-13 4.03e-13 4.53e-13 5.06e-13 5.61e-13 6.18e-13 6.76e-13 7.36e-13 7.96e-13 8.58e-13 9.20e-13 9.84e-13 1.05e-12 1.11e-12 1.18e-12 1.24e-12 
323  18   7  2.52e-14 3.07e-14 4.16e-14 5.60e-14 7.37e-14 9.44e-14 1.18e-13 1.45e-13 1.75e-13 2.08e-13 2.45e-13 2.85e-13 3.29e-13 3.76e-13 4.26e-13 4.79e-13 5.36e-13 5.95e-13 6.57e-13 7.22e-13 7.89e-13 8.59e-13 9.30e-13 1.00e-12 1.08e-12 1.15e-12 1.23e-12 1.31e-12 1.39e-12 1.47e-12 
324  18   6  2.18e-14 2.98e-14 4.29e-14 5.99e-14 8.00e-14 1.03e-13 1.28e-13 1.54e-13 1.82e-13 2.10e-13 2.40e-13 2.70e-13 3.01e-13 3.32e-13 3.63e-13 3.95e-13 4.26e-13 4.59e-13 4.91e-13 5.23e-13 5.56e-13 5.89e-13 6.22e-13 6.55e-13 6.88e-13 7.21e-13 7.55e-13 7.88e-13 8.22e-13 8.55e-13 
325  18   5  3.86e-14 4.91e-14 6.74e-14 9.24e-14 1.24e-13 1.64e-13 2.12e-13 2.68e-13 3.32e-13 4.06e-13 4.87e-13 5.77e-13 6.74e-13 7.79e-13 8.90e-13 1.01e-12 1.13e-12 1.26e-12 1.39e-12 1.53e-12 1.67e-12 1.81e-12 1.96e-12 2.11e-12 2.26e-12 2.41e-12 2.56e-12 2.72e-12 2.87e-12 3.02e-12 
326  18   4  6.93e-15 8.98e-15 1.26e-14 1.76e-14 2.44e-14 3.31e-14 4.40e-14 5.76e-14 7.38e-14 9.29e-14 1.15e-13 1.40e-13 1.68e-13 1.98e-13 2.31e-13 2.67e-13 3.05e-13 3.46e-13 3.88e-13 4.33e-13 4.79e-13 5.27e-13 5.76e-13 6.26e-13 6.78e-13 7.31e-13 7.85e-13 8.39e-13 8.94e-13 9.50e-13 
327  18   3  1.69e-14 2.14e-14 2.91e-14 3.91e-14 5.10e-14 6.46e-14 7.96e-14 9.59e-14 1.14e-13 1.32e-13 1.52e-13 1.73e-13 1.94e-13 2.17e-13 2.40e-13 2.64e-13 2.89e-13 3.14e-13 3.40e-13 3.66e-13 3.93e-13 4.20e-13 4.47e-13 4.75e-13 5.03e-13 5.31e-13 5.60e-13 5.88e-13 6.17e-13 6.46e-13 
328  18   2  1.26e-14 1.54e-14 2.03e-14 2.66e-14 3.40e-14 4.25e-14 5.22e-14 6.30e-14 7.51e-14 8.86e-14 1.03e-13 1.20e-13 1.37e-13 1.57e-13 1.77e-13 1.99e-13 2.22e-13 2.47e-13 2.73e-13 3.00e-13 3.29e-13 3.58e-13 3.89e-13 4.20e-13 4.52e-13 4.86e-13 5.20e-13 5.54e-13 5.89e-13 6.25e-13 
329  18   1  7.34e-15 9.64e-15 1.35e-14 1.87e-14 2.49e-14 3.20e-14 4.00e-14 4.87e-14 5.81e-14 6.82e-14 7.88e-14 8.99e-14 1.01e-13 1.13e-13 1.26e-13 1.38e-13 1.52e-13 1.65e-13 1.78e-13 1.92e-13 2.06e-13 2.21e-13 2.35e-13 2.50e-13 2.65e-13 2.80e-13 2.95e-13 3.10e-13 3.26e-13 3.42e-13 
330  17  16  1.40e-12 1.61e-12 1.91e-12 2.26e-12 2.62e-12 2.98e-12 3.35e-12 3.70e-12 4.05e-12 4.39e-12 4.72e-12 5.03e-12 5.34e-12 5.63e-12 5.91e-12 6.19e-12 6.46e-12 6.72e-12 6.97e-12 7.21e-12 7.45e-12 7.68e-12 7.91e-12 8.13e-12 8.35e-12 8.56e-12 8.76e-12 8.97e-12 9.16e-12 9.36e-12 
331  17  15  1.08e-12 1.25e-12 1.55e-12 1.91e-12 2.32e-12 2.76e-12 3.22e-12 3.70e-12 4.17e-12 4.64e-12 5.11e-12 5.56e-12 6.01e-12 6.44e-12 6.86e-12 7.27e-12 7.67e-12 8.05e-12 8.43e-12 8.79e-12 9.15e-12 9.49e-12 9.83e-12 1.02e-11 1.05e-11 1.08e-11 1.11e-11 1.14e-11 1.17e-11 1.20e-11 
332  17  14  1.33e-11 1.46e-11 1.66e-11 1.88e-11 2.11e-11 2.33e-11 2.54e-11 2.75e-11 2.95e-11 3.14e-11 3.33e-11 3.51e-11 3.68e-11 3.85e-11 4.01e-11 4.16e-11 4.31e-11 4.45e-11 4.59e-11 4.72e-11 4.85e-11 4.97e-11 5.10e-11 5.21e-11 5.33e-11 5.44e-11 5.55e-11 5.65e-11 5.75e-11 5.85e-11 
333  17  13  3.62e-12 3.96e-12 4.52e-12 5.14e-12 5.78e-12 6.40e-12 7.01e-12 7.58e-12 8.13e-12 8.66e-12 9.15e-12 9.63e-12 1.01e-11 1.05e-11 1.09e-11 1.13e-11 1.17e-11 1.20e-11 1.24e-11 1.27e-11 1.30e-11 1.33e-11 1.36e-11 1.39e-11 1.42e-11 1.45e-11 1.47e-11 1.50e-11 1.52e-11 1.55e-11 
334  17  12  3.78e-13 4.30e-13 5.13e-13 6.11e-13 7.18e-13 8.33e-13 9.54e-13 1.08e-12 1.21e-12 1.34e-12 1.47e-12 1.61e-12 1.75e-12 1.88e-12 2.02e-12 2.16e-12 2.30e-12 2.44e-12 2.57e-12 2.71e-12 2.85e-12 2.98e-12 3.12e-12 3.25e-12 3.39e-12 3.52e-12 3.65e-12 3.78e-12 3.91e-12 4.04e-12 
335  17  11  1.80e-12 2.11e-12 2.57e-12 3.11e-12 3.70e-12 4.32e-12 4.96e-12 5.61e-12 6.25e-12 6.89e-12 7.52e-12 8.13e-12 8.73e-12 9.31e-12 9.88e-12 1.04e-11 1.10e-11 1.15e-11 1.20e-11 1.24e-11 1.29e-11 1.33e-11 1.38e-11 1.42e-11 1.46e-11 1.49e-11 1.53e-11 1.57e-11 1.60e-11 1.63e-11 
336  17  10  5.50e-13 6.33e-13 7.65e-13 9.22e-13 1.09e-12 1.27e-12 1.45e-12 1.63e-12 1.82e-12 1.99e-12 2.17e-12 2.34e-12 2.52e-12 2.68e-12 2.85e-12 3.01e-12 3.16e-12 3.32e-12 3.47e-12 3.62e-12 3.77e-12 3.92e-12 4.06e-12 4.21e-12 4.35e-12 4.49e-12 4.63e-12 4.76e-12 4.90e-12 5.03e-12 
337  17   9  2.51e-12 2.86e-12 3.38e-12 3.97e-12 4.59e-12 5.24e-12 5.90e-12 6.57e-12 7.24e-12 7.91e-12 8.57e-12 9.24e-12 9.89e-12 1.05e-11 1.12e-11 1.18e-11 1.25e-11 1.31e-11 1.37e-11 1.43e-11 1.49e-11 1.55e-11 1.61e-11 1.67e-11 1.72e-11 1.78e-11 1.84e-11 1.89e-11 1.95e-11 2.00e-11 
338  17   8  4.73e-13 5.66e-13 7.03e-13 8.65e-13 1.05e-12 1.24e-12 1.45e-12 1.66e-12 1.87e-12 2.09e-12 2.31e-12 2.53e-12 2.75e-12 2.97e-12 3.18e-12 3.40e-12 3.61e-12 3.82e-12 4.03e-12 4.24e-12 4.44e-12 4.64e-12 4.84e-12 5.03e-12 5.22e-12 5.41e-12 5.60e-12 5.79e-12 5.97e-12 6.15e-12 
339  17   7  2.06e-13 2.48e-13 3.06e-13 3.74e-13 4.52e-13 5.40e-13 6.36e-13 7.41e-13 8.54e-13 9.75e-13 1.10e-12 1.23e-12 1.37e-12 1.52e-12 1.66e-12 1.81e-12 1.97e-12 2.12e-12 2.28e-12 2.44e-12 2.60e-12 2.76e-12 2.93e-12 3.09e-12 3.25e-12 3.42e-12 3.58e-12 3.75e-12 3.91e-12 4.07e-12 
340  17   6  8.51e-13 9.74e-13 1.15e-12 1.36e-12 1.59e-12 1.83e-12 2.07e-12 2.32e-12 2.57e-12 2.82e-12 3.07e-12 3.32e-12 3.57e-12 3.82e-12 4.07e-12 4.32e-12 4.57e-12 4.81e-12 5.05e-12 5.29e-12 5.53e-12 5.76e-12 6.00e-12 6.23e-12 6.46e-12 6.68e-12 6.91e-12 7.13e-12 7.35e-12 7.57e-12 
341  17   5  4.73e-13 5.35e-13 6.40e-13 7.65e-13 9.03e-13 1.05e-12 1.19e-12 1.34e-12 1.48e-12 1.63e-12 1.76e-12 1.90e-12 2.03e-12 2.16e-12 2.28e-12 2.40e-12 2.51e-12 2.62e-12 2.73e-12 2.83e-12 2.93e-12 3.02e-12 3.12e-12 3.21e-12 3.29e-12 3.38e-12 3.46e-12 3.54e-12 3.62e-12 3.69e-12 
342  17   4  1.83e-13 2.08e-13 2.45e-13 2.89e-13 3.36e-13 3.85e-13 4.37e-13 4.89e-13 5.43e-13 5.99e-13 6.56e-13 7.14e-13 7.73e-13 8.33e-13 8.94e-13 9.56e-13 1.02e-12 1.08e-12 1.15e-12 1.21e-12 1.27e-12 1.34e-12 1.40e-12 1.47e-12 1.53e-12 1.60e-12 1.66e-12 1.72e-12 1.79e-12 1.85e-12 
343  17   3  2.32e-13 2.90e-13 3.72e-13 4.71e-13 5.85e-13 7.10e-13 8.44e-13 9.87e-13 1.14e-12 1.29e-12 1.45e-12 1.61e-12 1.77e-12 1.94e-12 2.10e-12 2.27e-12 2.44e-12 2.61e-12 2.77e-12 2.94e-12 3.11e-12 3.27e-12 3.43e-12 3.59e-12 3.75e-12 3.91e-12 4.07e-12 4.22e-12 4.37e-12 4.52e-12 
344  17   2  8.17e-14 9.18e-14 1.07e-13 1.25e-13 1.45e-13 1.65e-13 1.85e-13 2.07e-13 2.30e-13 2.53e-13 2.78e-13 3.04e-13 3.30e-13 3.58e-13 3.87e-13 4.17e-13 4.48e-13 4.80e-13 5.13e-13 5.46e-13 5.80e-13 6.14e-13 6.49e-13 6.85e-13 7.20e-13 7.56e-13 7.92e-13 8.29e-13 8.65e-13 9.02e-13 
345  17   1  2.25e-13 2.64e-13 3.19e-13 3.83e-13 4.52e-13 5.26e-13 6.04e-13 6.84e-13 7.66e-13 8.51e-13 9.37e-13 1.03e-12 1.11e-12 1.21e-12 1.30e-12 1.39e-12 1.48e-12 1.58e-12 1.67e-12 1.77e-12 1.87e-12 1.96e-12 2.06e-12 2.16e-12 2.25e-12 2.35e-12 2.45e-12 2.55e-12 2.64e-12 2.74e-12 
346  16  15  5.27e-12 4.90e-12 5.00e-12 5.22e-12 5.48e-12 5.75e-12 6.03e-12 6.31e-12 6.59e-12 6.87e-12 7.15e-12 7.43e-12 7.71e-12 7.98e-12 8.26e-12 8.54e-12 8.81e-12 9.08e-12 9.35e-12 9.61e-12 9.87e-12 1.01e-11 1.04e-11 1.06e-11 1.09e-11 1.11e-11 1.13e-11 1.15e-11 1.18e-11 1.20e-11 
347  16  14  1.02e-11 1.07e-11 1.18e-11 1.30e-11 1.43e-11 1.55e-11 1.67e-11 1.79e-11 1.90e-11 2.00e-11 2.09e-11 2.18e-11 2.27e-11 2.35e-11 2.43e-11 2.50e-11 2.57e-11 2.63e-11 2.69e-11 2.75e-11 2.80e-11 2.86e-11 2.91e-11 2.95e-11 3.00e-11 3.04e-11 3.08e-11 3.12e-11 3.16e-11 3.20e-11 
348  16  13  4.25e-13 4.63e-13 5.44e-13 6.40e-13 7.42e-13 8.48e-13 9.56e-13 1.07e-12 1.18e-12 1.30e-12 1.42e-12 1.54e-12 1.67e-12 1.80e-12 1.94e-12 2.09e-12 2.23e-12 2.38e-12 2.53e-12 2.69e-12 2.84e-12 3.00e-12 3.15e-12 3.31e-12 3.47e-12 3.62e-12 3.78e-12 3.93e-12 4.08e-12 4.23e-12 
349  16  12  2.21e-12 2.49e-12 2.98e-12 3.54e-12 4.14e-12 4.74e-12 5.34e-12 5.93e-12 6.52e-12 7.09e-12 7.64e-12 8.19e-12 8.72e-12 9.23e-12 9.73e-12 1.02e-11 1.07e-11 1.12e-11 1.16e-11 1.21e-11 1.25e-11 1.29e-11 1.34e-11 1.38e-11 1.42e-11 1.46e-11 1.50e-11 1.53e-11 1.57e-11 1.61e-11 
350  16  11  1.16e-11 1.14e-11 1.23e-11 1.36e-11 1.52e-11 1.69e-11 1.87e-11 2.05e-11 2.24e-11 2.43e-11 2.61e-11 2.80e-11 2.98e-11 3.15e-11 3.32e-11 3.49e-11 3.65e-11 3.80e-11 3.95e-11 4.10e-11 4.23e-11 4.37e-11 4.50e-11 4.62e-11 4.74e-11 4.86e-11 4.97e-11 5.07e-11 5.18e-11 5.28e-11 
351  16  10  4.48e-13 4.70e-13 5.38e-13 6.23e-13 7.18e-13 8.20e-13 9.26e-13 1.04e-12 1.15e-12 1.26e-12 1.38e-12 1.49e-12 1.61e-12 1.72e-12 1.84e-12 1.95e-12 2.06e-12 2.18e-12 2.29e-12 2.41e-12 2.52e-12 2.63e-12 2.74e-12 2.85e-12 2.97e-12 3.08e-12 3.19e-12 3.30e-12 3.41e-12 3.51e-12 
352  16   9  5.32e-13 5.70e-13 6.71e-13 8.03e-13 9.54e-13 1.12e-12 1.29e-12 1.48e-12 1.67e-12 1.86e-12 2.06e-12 2.26e-12 2.47e-12 2.67e-12 2.87e-12 3.07e-12 3.27e-12 3.46e-12 3.65e-12 3.84e-12 4.03e-12 4.20e-12 4.38e-12 4.55e-12 4.72e-12 4.88e-12 5.03e-12 5.18e-12 5.33e-12 5.47e-12 
353  16   8  7.17e-13 8.51e-13 1.07e-12 1.34e-12 1.65e-12 1.98e-12 2.34e-12 2.72e-12 3.12e-12 3.54e-12 3.97e-12 4.41e-12 4.87e-12 5.33e-12 5.80e-12 6.27e-12 6.76e-12 7.24e-12 7.73e-12 8.22e-12 8.71e-12 9.21e-12 9.70e-12 1.02e-11 1.07e-11 1.12e-11 1.17e-11 1.22e-11 1.26e-11 1.31e-11 
354  16   7  2.82e-13 3.55e-13 4.75e-13 6.25e-13 7.97e-13 9.86e-13 1.19e-12 1.40e-12 1.62e-12 1.84e-12 2.07e-12 2.30e-12 2.52e-12 2.75e-12 2.97e-12 3.19e-12 3.40e-12 3.61e-12 3.82e-12 4.02e-12 4.22e-12 4.42e-12 4.61e-12 4.80e-12 4.99e-12 5.17e-12 5.34e-12 5.52e-12 5.69e-12 5.86e-12 
355  16   6  2.87e-14 3.81e-14 5.41e-14 7.54e-14 1.02e-13 1.33e-13 1.70e-13 2.12e-13 2.59e-13 3.12e-13 3.70e-13 4.32e-13 5.00e-13 5.73e-13 6.50e-13 7.31e-13 8.16e-13 9.05e-13 9.96e-13 1.09e-12 1.19e-12 1.29e-12 1.39e-12 1.49e-12 1.59e-12 1.70e-12 1.80e-12 1.91e-12 2.01e-12 2.12e-12 
356  16   5  3.65e-14 4.70e-14 6.81e-14 9.82e-14 1.37e-13 1.85e-13 2.42e-13 3.06e-13 3.78e-13 4.54e-13 5.35e-13 6.20e-13 7.08e-13 7.97e-13 8.87e-13 9.78e-13 1.07e-12 1.16e-12 1.25e-12 1.34e-12 1.43e-12 1.51e-12 1.60e-12 1.68e-12 1.76e-12 1.85e-12 1.92e-12 2.00e-12 2.08e-12 2.15e-12 
357  16   4  5.94e-14 7.64e-14 1.03e-13 1.36e-13 1.74e-13 2.14e-13 2.57e-13 3.02e-13 3.48e-13 3.96e-13 4.45e-13 4.94e-13 5.44e-13 5.94e-13 6.45e-13 6.96e-13 7.48e-13 7.99e-13 8.51e-13 9.03e-13 9.55e-13 1.01e-12 1.06e-12 1.11e-12 1.17e-12 1.22e-12 1.27e-12 1.32e-12 1.38e-12 1.43e-12 
358  16   3  6.45e-14 8.12e-14 1.11e-13 1.52e-13 2.06e-13 2.73e-13 3.53e-13 4.45e-13 5.50e-13 6.65e-13 7.90e-13 9.24e-13 1.07e-12 1.22e-12 1.37e-12 1.53e-12 1.69e-12 1.86e-12 2.03e-12 2.20e-12 2.38e-12 2.55e-12 2.73e-12 2.91e-12 3.09e-12 3.27e-12 3.44e-12 3.62e-12 3.80e-12 3.97e-12 
359  16   2  2.31e-14 2.96e-14 4.07e-14 5.50e-14 7.21e-14 9.16e-14 1.13e-13 1.37e-13 1.63e-13 1.90e-13 2.18e-13 2.47e-13 2.77e-13 3.08e-13 3.39e-13 3.70e-13 4.02e-13 4.34e-13 4.65e-13 4.97e-13 5.28e-13 5.60e-13 5.91e-13 6.22e-13 6.53e-13 6.84e-13 7.15e-13 7.45e-13 7.76e-13 8.06e-13 
